2A_element_perfect,2F_element_perfect,2Lo_element_perfect,2Lz_element_perfect,2S_element_perfect,2T_element_perfect,3A_element_perfect,3F_element_perfect,3Lo_element_perfect,3Lz_element_perfect,3S_element_perfect,3T_element_perfect,4F_element_perfect,4Lo_element_perfect,4Lz_element_perfect,4S_element_perfect,4T_element_perfect,A_element_perfect,CCSp2_element_perfect,CCSp3_element_perfect,CCSp4_element_perfect,CCSpB_element_perfect,CCSp_element_perfect,CCoSp2_element_perfect,CCoSp3_element_perfect,CCoSp4_element_perfect,CCoSpB_element_perfect,CCoSp_element_perfect,CSSp2_element_perfect,CSSp3_element_perfect,CSSp4_element_perfect,CSSpB_element_perfect,CSSp_element_perfect,CSp2_element_perfect,CSp3_element_perfect,CSp4_element_perfect,CSpB_element_perfect,CSp_element_perfect,ChS_element_perfect,ChSpl_element_perfect,CoSp2_element_perfect,CoSpB_element_perfect,CoSp_element_perfect,Eu_element_perfect,FCCSp4_element_perfect,FCCoSp2_element_perfect,FCCoSp3_element_perfect,FCCoSp4_element_perfect,FCCoSpB_element_perfect,FCCoSp_element_perfect,FCSSp2_element_perfect,FCSSp3_element_perfect,FCSSp4_element_perfect,FCSSpB_element_perfect,FCSSp_element_perfect,FCSp2_element_perfect,FCSp3_element_perfect,FCSp4_element_perfect,FCSpB_element_perfect,FCSp_element_perfect,FCoSp2_element_perfect,FCoSp_element_perfect,FLSp2_element_perfect,FLSp3_element_perfect,FLSp4_element_perfect,FSSp2_element_perfect,FSSp3_element_perfect,FSSp4_element_perfect,FSSpB_element_perfect,FSSp_element_perfect,FSsp2_element_perfect,FUSp_element_perfect,F_element_perfect,LSp2_element_perfect,LSp3_element_perfect,LSp4_element_perfect,LSpB_element_perfect,LSp_element_perfect,Lo_element_perfect,Lz_element_perfect,SSp2_element_perfect,SSp3_element_perfect,SSp4_element_perfect,SSpB_element_perfect,SSp_element_perfect,S_element_perfect,Sp_element_perfect,StSq2_element_perfect,StSq3_element_perfect,StSq4_element_perfect,StSqB_element_perfect,StSq_element_perfect,T_element_perfect,USpB_element_perfect,W_element_perfect,color,components_score,date_end,date_start,elements_score,origin_id,overall_place,overall_total_score,place,school_id,segment_name,starting_place,title,tournament_id,unit_id,season
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,24.67,2090-12-01,2090-11-29,33.19,2.0,4,164.44,5,198,Короткая программа,2,2A/3F+3Lo/3Lz/CCoSp4/FCSp4/LSp4/StSq2,1,1,Autumn
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,52.74,2091-04-30,2091-04-28,47.87,2.0,14,151.55,14,198,Произвольная программа,6,2A/3F+3Lo</3Lz</3T/CCoSp4/StSq2/3Sq/3Lz<+REP/3Fq+1Eu+2F/FCSp3/ChSq1/LSp3,52,1,Spring
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,24.2,2090-04-22,2090-04-19,28.06,1.0,8,160.1,13,198,Короткая программа,16,3Lz/3F+3Loq/CCoSp4/StSq2/2A/FSSp4/LSp3,84,1,Spring
1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,50.08,2090-04-22,2090-04-19,60.76,1.0,8,160.1,7,198,Произвольная программа,4,3F+3Loq/3Lz/2A+2T/3Lz+1Eu+2F/3S/2A/CCoSp4/StSq2/3F/FSSp3/ChSq1/LSp4,84,1,Spring
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,27.04,2091-12-08,2091-12-05,32.31,2.0,10,170.4,6,198,Короткая программа,26,2A/3Lz/LSp3/3F!+2Lo/FSSp2/StSq2/CCoSp4,4790,1,Winter
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,green,55.65,2091-12-08,2091-12-05,55.4,2.0,10,170.4,11,198,Произвольная программа,28,3T/3F+2Lo/2A/3Lz+2Aq+2T+SЕQ/FCSp4/ChSq1/3Loq/3Lzq+2T/2F/CCoSp4/LSp3,4790,1,Winter
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,28.0,2091-12-26,2091-12-25,32.7,1.0,3,183.24,3,198,Короткая программа,4,2A/3F!/LSp4/3Lz+2Lo/FCSp4/StSq2/CCoSp4,4844,1,Winter
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,green,27.6,2092-04-26,2092-04-23,31.92,2.0,7,174.24,7,198,Короткая программа,7,2A/3Lz+2T/LSp4/3F/FCSp3/StSq3/CCoSp4,7115,1,Spring
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,27.59,2092-01-28,2092-01-27,28.59,1.0,6,179.03,7,198,Короткая программа,6,2A/3F!/LSp3/3Lz+2Lo</FCSp3/StSq2/CCoSp4,5883,1,Winter
1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,green,57.53,2092-01-28,2092-01-27,65.32,1.0,6,179.03,6,198,Произвольная программа,6,3T/3Lz+2T/2A/3F+2Lo/FCSp4/ChSq1/3Lo/3Lz/3F+2A+2Lo<+SЕQ/CCoSp4/StSq2/LSp3,5883,1,Winter
