element,decrease-5,decrease-4,decrease-3,decrease-2,decrease-1,base,increase+1,increase+2,increase+3,increase+4,increase+5
1T,-0.20,-0.16,-0.12,-0.08,-0.04,0.4,+0.04,+0.08,+0.12,+0.16,+0.20
1S,-0.20,-0.16,-0.12,-0.08,-0.04,0.4,+0.04,+0.08,+0.12,+0.16,+0.20
1Lo,-0.25,-0.20,-0.15,-0.10,-0.05,0.5,+0.05,+0.10,+0.15,+0.20,+0.25
1Eu (Euler),-0.25,-0.20,-0.15,-0.10,-0.05,0.5,+0.05,+0.10,+0.15,+0.20,+0.25
1F,-0.25,-0.20,-0.15,-0.10,-0.05,0.5,+0.05,+0.10,+0.15,+0.20,+0.25
1Lz,-0.30,-0.24,-0.18,-0.12,-0.06,0.6,+0.06,+0.12,+0.18,+0.24,+0.30
1T<,-0.15,-0.12,-0.09,-0.06,-0.03,0.3,+0.03,+0.06,+0.09,+0.12,+0.15
1S<,-0.15,-0.12,-0.09,-0.06,-0.03,0.3,+0.03,+0.06,+0.09,+0.12,+0.15
1Lo<,-0.19,-0.15,-0.11,-0.08,-0.04,0.38,+0.04,+0.08,+0.11,+0.15,+0.19
1Eu<,-0.19,-0.15,-0.11,-0.08,-0.04,0.38,+0.04,+0.08,+0.11,+0.15,+0.19
1F < or e,-0.19,-0.15,-0.11,-0.08,-0.04,0.38,+0.04,+0.08,+0.11,+0.15,+0.19
1Lz < or e,-0.23,-0.18,-0.14,-0.09,-0.05,0.45,+0.05,+0.09,+0.14,+0.18,+0.23
1F < and e,-0.15,-0.12,-0.09,-0.06,-0.03,0.3,+0.03,+0.06,+0.09,+0.12,+0.15
1Lz < and e,-0.18,-0.14,-0.11,-0.07,-0.04,0.36,+0.04,+0.07,+0.11,+0.14,+0.18
1A,-0.55,-0.44,-0.33,-0.22,-0.11,1.1,+0.11,+0.22,+0.33,+0.44,+0.55
2T,-0.65,-0.52,-0.39,-0.26,-0.13,1.3,+0.13,+0.26,+0.39,+0.52,+0.65
2S,-0.65,-0.52,-0.39,-0.26,-0.13,1.3,+0.13,+0.26,+0.39,+0.52,+0.65
2Lo,-0.85,-0.68,-0.51,-0.34,-0.17,1.7,+0.17,+0.34,+0.51,+0.68,+0.85
2F,-0.90,-0.72,-0.54,-0.36,-0.18,1.8,+0.18,+0.36,+0.54,+0.72,+0.90
2Lz,-1.05,-0.84,-0.63,-0.42,-0.21,2.1,+0.21,+0.42,+0.63,+0.84,+1.05
